project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,last_evidence_date,evidence_count,raw_value,canonical_name,match_type,match_score,requires_review
8337a91c-b0b9-4978-bc6b-abdd7c9ee3e5,8000 W Beverly Blvd,8000 WEST BEVERLY BOULEVARD LOS ANGELES CA 90048,developer,"Beverly Pacifica, LLC",South Park Group,most_recent_wins_canonicalized,high,low,2026-04-16,2,"South Park Group, Inc.",South Park Group,exact_alias,,false
8488ec58-e5ca-43f4-acf5-584f1914f312,,1030 SOUTH LAKE STREET LOS ANGELES CA 90006,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,medium,low,2026-04-16,1,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
a9c3269d-1a23-4c21-9783-332be0899be5,1035 Crenshaw,1035 SOUTH CRENSHAW BOULEVARD LOS ANGELES CA 90019,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2024-11-02,1,Jamison Services,Jamison Properties,exact_alias,,false
f886f021-e48f-4561-b470-69a791c4f266,The Amber,1047 SOUTH CRENSHAW BOULEVARD LOS ANGELES CA 90019,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2026-02-11,1,Jamison Services,Jamison Properties,exact_alias,,false
ac1fe16f-71ef-4961-9cd4-b16d79f0180f,Amara,11600 SANTA MONICA BOULEVARD LOS ANGELES CA 90025,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2024-08-08,1,Jamison Services,Jamison Properties,exact_alias,,false
603fce3f-d06e-4522-aae1-84917cf57095,Archer Apartments,1718 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2021-03-13,1,Jamison Services,Jamison Properties,exact_alias,,false
ced610f9-af61-4e62-9a33-d7a2404060af,Maxwell,1855 WESTWOOD BOULEVARD LOS ANGELES CA 90025,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2023-06-25,1,Jamison Services,Jamison Properties,exact_alias,,false
a32ce0f8-e62d-4406-b633-7262a5f3a7d6,sageLA,200 NORTH VERMONT AVENUE LOS ANGELES CA 90004,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2024-11-04,1,Jamison Services,Jamison Properties,exact_alias,,false
66d59177-f181-4f2c-b485-3d398065bb14,Atlas House,2500 WILSHIRE BOULEVARD LOS ANGELES CA 90057,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2022-12-15,1,Jamison Services,Jamison Properties,exact_alias,,false
a231e1c2-e169-4026-aa9b-f69673ce0d30,Kurve on Wilshire,2900 WEST WILSHIRE BOULEVARD LOS ANGELES CA 90010,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2021-09-04,1,Jamison Services,Jamison Properties,exact_alias,,false
