project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,last_evidence_date,evidence_count,raw_value,canonical_name,match_type,match_score,requires_review
c048364a-7167-420c-bf2f-932f3c078141,,1013 NORTH GENESEE AVENUE LOS ANGELES CA 90046,developer,Category,FMB Development,most_recent_wins_canonicalization_review_required,low,low,2025-02-01,1,FMB Development,FMB Development,new_registry_entry,,true
636e894a-b8bd-4c2b-96eb-6d55de3ae494,The Butterfly,1017 SOUTH MARIPOSA AVENUE LOS ANGELES CA 90006,developer,Category,Innovative Housing Opportunities Inc.,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Innovative Housing Opportunities Inc.,Innovative Housing Opportunities Inc.,new_registry_entry,,true
1038ac47-4e70-4402-8ce1-d1303c0e229a,,1120 SOUTH OLIVE STREET LOS ANGELES CA 90015,developer,Category,Mack Real Estate Development LLC,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Mack Real Estate Development LLC,Mack Real Estate Development LLC,new_registry_entry,,true
048731de-f57c-41c5-b4d6-2613ac539009,,1165-1167 WEST 37TH PLACE LOS ANGELES CA 90007,developer,Category,Moo Housing,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Moo Housing,Moo Housing,new_registry_entry,,true
030c2a62-bbff-44a9-adc3-874d28f095fc,,11848 VENICE BOULEVARD LOS ANGELES CA 90066,developer,Category,HVN Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,HVN Development,HVN Development,new_registry_entry,,true
0e73f466-dc25-4c14-b4c5-02ea2122eae4,North Mathews,121 NORTH MATHEWS STREET LOS ANGELES CA 90033,developer,Category,HVN Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,5,HVN Development,HVN Development,new_registry_entry,,true
d85e52e3-7ed7-494b-bdf5-b5e61e652d9d,,1233 SOUTH BEDFORD STREET LOS ANGELES CA 90035,developer,Category,Terra Capital Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,Terra Capital Development,Terra Capital Development,new_registry_entry,,true
97194447-c540-4f23-a91c-c5d2a1d4ab3e,Sunset Reflection,1275 WEST SUNSET BOULEVARD LOS ANGELES CA 90026,developer,Category,Visionary Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,3,Visionary Development Group,Visionary Development Group,new_registry_entry,,true
f9f51dc0-7247-4b02-86f0-19dc2d26603c,Restorative Care Village,1321-1381 NORTH MISSION ROAD LOS ANGELES CA 90033,developer,Category,Century Housing Corporation,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Century Housing Corporation,Century Housing Corporation,new_registry_entry,,true
714a22e7-de03-4054-b2b6-d53cc913ee1b,,1340 GLENDALE BOULEVARD LOS ANGELES CA 90026,developer,Category,Terra Capital Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Terra Capital Development,Terra Capital Development,new_registry_entry,,true
b4562a75-9f64-49d9-b622-4617e71f59e9,Orion 1408 Jefferson,1408 WEST JEFFERSON BOULEVARD LOS ANGELES CA 90007,developer,Category,Orion Housing,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,Orion Housing,Orion Housing,new_registry_entry,,true
4000e272-60ea-4789-8fad-3938b614aa4a,West 5th LA,1441 5TH STREET LOS ANGELES CA 90071,developer,Category,"Torkian Construction, Inc.",most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,"Torkian Construction, Inc.","Torkian Construction, Inc.",new_registry_entry,,true
4f77e43b-8f0f-4631-8c34-aa3924f0d77a,Third Thyme,1441 WEST 3RD STREET LOS ANGELES CA 90017,developer,Category,West Hollywood Community Housing Corporation,most_recent_wins_canonicalization_review_required,medium,low,2026-04-01,1,West Hollywood Community Housing Corporation,West Hollywood Community Housing Corporation,new_registry_entry,,true
ee8810e1-ee85-49be-93c5-7974ed2fbec1,,1449-1451 ECHO PARK AVENUE LOS ANGELES CA 90026,developer,Category,Kenihan Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Kenihan Development,Kenihan Development,new_registry_entry,,true
1ea2df00-0e6a-4858-87f8-29a79005d05d,Crossroads Hollywood B2,1501-1573 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,developer,Category,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Harridge Development Group,Harridge Development Group,new_registry_entry,,true
6ca5b552-14dc-4c97-9897-76c5d3a16f40,Highland Park Transit Village,151 NORTH 57 LOS ANGELES CA 90042,developer,Category,McCormack Baron West Coast Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,McCormack Baron West Coast Development,McCormack Baron West Coast Development,new_registry_entry,,true
4ecedcd6-9636-4fe8-bcdc-76805d55950f,Hi Point,1532 HI POINT STREET LOS ANGELES CA 90035,developer,Category,Rockport Development Inc,most_recent_wins_canonicalization_review_required,high,low,2026-04-16,2,Rockport Development Inc,Rockport Development Inc,new_registry_entry,,true
d41b6e8b-10af-48a0-9e9a-d9b1d78f7e27,The Court Residences,1540 WEST COURT STREET LOS ANGELES CA 90026,developer,Category,Visionary Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,11,Visionary Development,Visionary Development,new_registry_entry,,true
23b01bc8-2dad-4985-b212-eb109cb25607,Orange Grove Lofts,1546 SOUTH ORANGE GROVE AVENUE LOS ANGELES CA 90019,developer,Category,Larian Development,most_recent_wins_canonicalization_review_required,high,low,2026-04-16,2,Larian Development,Larian Development,new_registry_entry,,true
fd375fa5-8c35-4cfa-9b92-db41add74df8,Crossroads Hollywood B4,1555 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,developer,Category,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,Harridge Development Group,Harridge Development Group,new_registry_entry,,true
04cf01c9-c551-47f9-bfef-e48105db47e7,Echo 55,1655 ALLESANDRO STREET LOS ANGELES CA 90026,developer,Category,A.J. Khair Construction,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,A.J. Khair Construction,A.J. Khair Construction,new_registry_entry,,true
