decision,notes,project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,delta_shape,last_evidence_date,evidence_count,supporting_evidence_count,evidence_ids,winning_source_type,winning_source_tier,winning_evidence_date,winning_collected_at,winning_source_record_id,raw_value,canonical_name,match_type,match_score,requires_review,review_cluster
,,0049e891-2bb3-44b9-8030-bd5d381a64d0,,12757 MITCHELL AVENUE LOS ANGELES CA 90066,developer,Helio / UCLA,SAFCO Capital,most_recent_wins_canonicalized,medium,low,value_changed,2026-04-16,1,1,"[""7ad9f728-ac66-40a2-a105-180bd1395b1d""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11079100,Beach City Capital LLC,SAFCO Capital,exact_alias,,false,helio_ucla
,,33f4e566-eae8-40a6-b258-09a26bb067ef,,2511 WEST SUNSET BOULEVARD LOS ANGELES CA 90026,developer,Helio / UCLA,SAFCO Capital,most_recent_wins_canonicalized,medium,low,value_changed,2026-04-16,1,1,"[""14dc0bc8-ec85-41db-8eac-8332aef902af""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,20291659,Six Peak Capital,SAFCO Capital,exact_alias,,false,helio_ucla
,,612367ad-f5be-403d-8335-88a6c0c60237,York Lofts,5633-5637 YORK BOULEVARD LOS ANGELES CA 90042,developer,Helio / UCLA,SAFCO Capital,most_recent_wins_canonicalized,medium,low,value_changed,2026-04-16,1,1,"[""886738fa-370c-42bd-9156-7ab15ee0ce42""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10160599,Madison Capital Group,SAFCO Capital,exact_alias,,false,helio_ucla
,,14035c96-23f9-40f0-ac8e-2cb1ffcdc35a,,9033 RAMSGATE AVENUE LOS ANGELES CA 90045,developer,Helio / UCLA,SAFCO Capital,most_recent_wins_canonicalized,medium,low,value_changed,2026-04-16,2,1,"[""352f9ccb-ea92-4457-9de8-a5a4b7ad275c""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21478382,Six Peak Capital,SAFCO Capital,exact_alias,,false,helio_ucla
,,45e8e6d4-e97c-4d93-a997-19173cd84ba1,,9750 AIRPORT BOULEVARD LOS ANGELES CA 90045,developer,Helio / UCLA,SAFCO Capital,most_recent_wins_canonicalized,medium,low,value_changed,2026-04-16,1,1,"[""abba0c88-0b6a-46aa-91ec-2b42511c1b94""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21375778,Capital Insight,SAFCO Capital,exact_alias,,false,helio_ucla
,,8337a91c-b0b9-4978-bc6b-abdd7c9ee3e5,8000 W Beverly Blvd,8000 WEST BEVERLY BOULEVARD LOS ANGELES CA 90048,developer,"Beverly Pacifica, LLC",South Park Group,most_recent_wins_canonicalized,high,low,value_changed,2026-04-16,2,1,"[""a7777bea-ef13-4ba4-a141-7a6cb7a736e9""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10232129,"South Park Group, Inc.",South Park Group,exact_alias,,false,
,,e49bd069-a6b4-486c-8aac-d71857105224,NOW,11660-11674 SANTA MONICA BOULEVARD LOS ANGELES CA 90025,developer,KMK Management,Appa Real Estate,most_recent_wins_canonicalized,high,low,value_changed,2026-04-16,2,1,"[""1ad1d789-7e51-4a9f-9c13-f78704ad332d""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10918031,MVE + Partners,Appa Real Estate,exact_alias,,false,
,,2c1e09b5-9a43-4973-b5a7-89732514217f,Autograph Collection Hollywood,6445 WEST SUNSET BOULEVARD LOS ANGELES CA 90028,developer,Nela Development,Vella Group,most_recent_wins_canonicalized,medium,low,value_changed,2026-04-16,2,1,"[""aafc0e2c-4fb8-4ec4-a8cb-0c6d987aa6ca""]",costar,3,2026-04-16,2026-04-16T04:19:10.452230+00:00,14214665,NELA Group,Vella Group,exact_alias,,false,
,,56d32f68-ef36-478f-817c-e7e04281b051,1500 Hi Point St,1500 HI POINT STREET LOS ANGELES CA 90035,developer,ROM Investments,WS Communities,most_recent_wins_canonicalized,high,low,value_changed,2026-04-16,2,1,"[""1efee0f7-5da2-4eb9-9578-83074582feff""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10320375,Trion Properties,WS Communities,exact_alias,,false,
,,7b8d4db6-1aec-4dc6-bc10-8270d34cf732,Lake on Wilshire,1930 WEST WILSHIRE BOULEVARD LOS ANGELES CA 90057,developer,Rojas Revocable Family Trust,Walter J. Samson,most_recent_wins_canonicalized,high,low,value_changed,2026-04-16,2,1,"[""bb2fd7b3-f2bc-41fb-aa62-59c524041c4c""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10185726,Walter J Company,Walter J. Samson,fuzzy_auto,100.0,false,
,,e93d889d-2058-4214-8c26-f75f79711b22,5430 W Virginia Ave,5430 WEST VIRGINIA AVENUE LOS ANGELES CA 90029,developer,5432 Virginia LLC,Mehdi Mossazadeh,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""d15fae96-0a3c-4448-82f0-b4f931ca5094""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11062871,Mehdi Mossazadeh,Mehdi Mossazadeh,exact_canonical,,false,
,,0726d5f5-0796-48ae-8157-45bbf91061be,Maru Apartments,549 SOUTH HARVARD BOULEVARD LOS ANGELES CA 90020,developer,Jamison Properties,Urban Commons LLC,most_recent_wins,medium,low,value_changed,2026-04-16,2,1,"[""b3349f54-f7da-44a8-a1eb-e49a8239dffc""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10163624,Urban Commons LLC,Urban Commons LLC,exact_canonical,,false,
,,333cd944-9cdb-4dbc-92dc-a85ddfb0eedf,Walker,3550 WILSHIRE BOULEVARD LOS ANGELES CA 90010,developer,Jamison Services,Jamison Properties,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""6c3aaef5-ba78-4d0a-804f-39f69a669123""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21229187,Jamison Properties,Jamison Properties,exact_canonical,,false,
,,3c07fe68-e3b2-48ac-8366-b21d31bd5b2a,Jayden,4632 WEST SANTA MONICA BOULEVARD LOS ANGELES CA 90029,developer,Jamison Services,Jamison Properties,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""080ce107-5a3b-41f2-955c-356cf2556a20""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11012235,Jamison Properties,Jamison Properties,exact_canonical,,false,
,,59557fb9-7b0a-4c63-b202-61ab73205115,Grayson,695 SOUTH VERMONT AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins,high,low,value_changed,2026-04-10,15,1,"[""d3464154-df20-4534-b47d-b0acfd3ba2b6""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,19652525,Jamison Properties,Jamison Properties,exact_canonical,,false,
,,12099ae4-a746-48b7-b150-67e800bd36be,Tower Flats,2412 SOUTH FEDERAL AVENUE LOS ANGELES CA 90064,developer,Markwood Enterprises,IKON LTD.,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""a35246ed-dbe4-4177-9ae4-3380ad959e7e""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10885057,IKON LTD.,IKON LTD.,exact_canonical,,false,
,,a765dcf9-4d8b-4bc9-8648-122181471f4f,Hollywood & Wilcox,6430 HOLLYWOOD BOULEVARD LOS ANGELES CA 90028,developer,The Sullivan Family / Hines,LeFrak,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""27174a3d-47b4-4c0f-8ecc-3ed1e7b2e534""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10310692,LeFrak,LeFrak,exact_canonical,,false,
,,a3d22897-a405-46ac-bbfc-3e2092e33aa0,11261 W Santa Monica Blvd,11261 WEST SANTA MONICA BOULEVARD LOS ANGELES CA 90025,developer,Wiseman Development,Wiseman Residential,most_recent_wins,high,low,value_changed,2026-04-16,7,1,"[""7ee1f6d6-a54f-48eb-8ff5-e5ff25eb93ea""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10721645,Wiseman Residential,Wiseman Residential,exact_canonical,,false,
,,c06020f6-7d69-40f8-9312-dd8a0a0b0027,6055 Pico,6055 WEST PICO BOULEVARD LOS ANGELES CA 90035,developer,Wiseman Development,Wiseman Residential,most_recent_wins,high,low,value_changed,2026-04-16,10,1,"[""3d3887b9-2302-434f-8a2e-b16b3336467b""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10888339,Wiseman Residential,Wiseman Residential,exact_canonical,,false,
,,218720e5-d4f5-44d6-b225-b8e275bedb21,,6239 BANNER AVENUE LOS ANGELES CA 90038,developer,Helio / UCLA,"Onward Capital, Inc.",most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""9c2c04f7-0d50-453a-beca-b811de6bf4db""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,20916337,"Onward Capital, Inc.",SAFCO Capital,fuzzy_review,78.57142857142857,true,helio_ucla
,,4d18ac33-d568-49eb-952c-fb521b22b3e6,,142 EAST VERNON AVENUE LOS ANGELES CA 90011,developer,Helio / UCLA,Pacific Integrated Capital,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""4ec89511-59b1-4260-a006-f3127e7dd6de""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11198084,Pacific Integrated Capital,SAFCO Capital,fuzzy_review,77.77777777777777,true,helio_ucla
,,39735360-f786-4db5-9a62-2502e7e7ae4f,3547 S Overland Ave,3555 OVERLAND AVENUE LOS ANGELES CA 90034,developer,Helio / UCLA,"Starkwood, Inc.",most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""ad109854-2eeb-4473-a4c6-ec8b0b0dd9fc""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11106674,"Starkwood, Inc.","Starkwood, Inc.",new_registry_entry,,true,helio_ucla
,,6948db7e-b3b7-4c0f-b2ff-aa93cc881de0,Melrose Crossing,7000 WEST MELROSE AVENUE LOS ANGELES CA 90036,developer,Helio / UCLA,Tiger West Capital,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""4c871a5c-3595-4dc7-ba2b-aefa4fd8b4ac""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,9779081,Tiger West Capital,SAFCO Capital,fuzzy_review,85.71428571428571,true,helio_ucla
,,174a53ae-cc5d-4203-9185-5ab4eac15f4f,Broadway Trade Center,801 SOUTH BROADWAY LOS ANGELES CA 90014,developer,Helio / UCLA,"Waterbridge Capital, LLC",most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,2,1,"[""920e2b0e-3b46-494e-9a8b-4f896f4009b9""]",costar,3,2026-04-16,2026-04-16T04:19:10.452230+00:00,9496758,"Waterbridge Capital, LLC",SAFCO Capital,fuzzy_review,77.77777777777777,true,helio_ucla
,,6af4bbb4-ebfe-411c-81d1-bf07aaa11d6f,985 S 3rd Ave,3609 WEST OLYMPIC BOULEVARD LOS ANGELES CA 90019,developer,985 LLC,J R Construction,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""dfd03983-93d3-46c0-8c2d-196c89104281""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10682756,J R Construction,J R Construction,new_registry_entry,,true,
,,39a7e3d0-594a-4532-bccf-61277319a2ef,10757-10759 Wilkins Ave,10757-10759 WILKINS AVENUE LOS ANGELES CA 90024,developer,"FIN Holdings, LLC and Wilkins Group, LLC",Kamana Academy Incorporated,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-01,2,1,"[""8953376d-e3ef-41a0-9904-b00e45eb0640""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,11399701,Kamana Academy Incorporated,Kamana Academy Incorporated,new_registry_entry,,true,
,,c6f07121-948a-4551-ab28-1606f5b575be,1350 Western,1350 NORTH WESTERN AVENUE LOS ANGELES CA 90027,developer,Georgetown Co.,Gemdale USA,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,3,1,"[""a69091e6-7a45-45eb-9d68-918af03632ac""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,9748522,Gemdale USA,Gemdale / LaTerra,fuzzy_review,77.77777777777777,true,
,,1d46c112-4e84-4cc9-af2a-c5a0bb1add01,1445 Las Palmas,1445 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,developer,KMK Management,Urban Design Specialists,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""9a1d6663-87e0-4d5c-b22b-008227897964""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,20257646,Urban Design Specialists,Urban Design Specialists,new_registry_entry,,true,
,,c55faad2-4c8f-4717-bbf0-c19563767153,Westgate Manor,11857-11861 WEST SANTA MONICA BOULEVARD LOS ANGELES CA 90025,developer,Kami Farhadi,Screamline Investment Corporation,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,3,1,"[""0bc26119-583e-417a-b5ba-a54aa88d911c""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11025056,Screamline Investment Corporation,Kian Investment,fuzzy_review,86.95652173913044,true,
,,af7668b0-ae19-430f-8edf-c5749379c3ed,Fedora Flats,1047-1053 SOUTH FEDORA STREET LOS ANGELES CA 90006,developer,Kenneth Lee,Winstar  Properties,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-01,2,1,"[""475b1e9e-2f5e-4184-8807-024f47237079""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,11192835,Winstar  Properties,WS Communities,fuzzy_review,86.95652173913044,true,
,,34c06edc-7bd6-43e0-9aec-36df123ac72c,8th & Mariposa,3216 WEST 8TH STREET LOS ANGELES CA 90005,developer,Mike Barry,H by H Hospitality,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,3,1,"[""f92d4d3c-d375-49be-a830-a526f649d0a4""]",costar,3,2026-04-16,2026-04-16T04:19:10.452230+00:00,12875668,H by H Hospitality,H by H Hospitality,new_registry_entry,,true,
,,17df61a8-210e-4a3f-bb55-dce036715145,831+835 Westlake Apartments,831-837 SOUTH WESTLAKE AVENUE LOS ANGELES CA 90057,developer,Nourizad Family,Pirooz Nourizad,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-01,2,1,"[""8d9aae47-0164-42e5-a6ec-82f746cb9172""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,10966849,Pirooz Nourizad,Pirooz Nourizad,new_registry_entry,,true,
,,c4eb2f29-2e69-40e2-be88-296dc98ccf2a,Pico Gateway Apartments,11460 GATEWAY BOULEVARD LOS ANGELES CA 90064,developer,Onni Group,Three 6Ixty,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""b938436b-25ea-4a78-8bb1-4cf27c13c92a""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,9868242,Three 6Ixty,Three 6Ixty,new_registry_entry,,true,
,,2b70f723-94a9-4254-b14d-25673e0d61ae,329 S Bonnie Brae St,329 SOUTH BONNIE BRAE STREET LOS ANGELES CA 90057,developer,ROM Investments,Bold Engineer & Associates,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-10,6,1,"[""8b4f6635-e959-4517-898e-92faa7df4473""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,10953019,Bold Engineer & Associates,Thomas Safran & Associates,fuzzy_review,87.5,true,
,,c03bc62e-9491-4899-aa28-1ab963a291bf,The Spaulding,1110 SOUTH SPAULDING AVENUE LOS ANGELES CA 90019,developer,SAFCO Capital,Harpco Construction and Development Services,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-10,9,1,"[""eac6d36e-0d97-41e4-af94-39dd81fde228""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,11122467,Harpco Construction and Development Services,Nur Development,fuzzy_review,88.0,true,
,,83f14404-50a5-49c7-b548-ffe88452c21e,I Magnin Redevelopment,3240 WILSHIRE BOULEVARD LOS ANGELES CA 90010,developer,SAFCO Capital,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,3,1,"[""39ce127e-f5a4-4a7f-aba8-5516aab2d92b""]",costar,3,2026-04-16,2026-04-16T04:19:10.452230+00:00,11218343,Harridge Development Group,Nur Development,fuzzy_review,88.0,true,
,,7ab7cde4-b690-4d06-98cf-4d60ba3e1092,539-547 N Hobart Blvd,539 NORTH HOBART BOULEVARD LOS ANGELES CA 90004,developer,TCL Oxford Solutions,Plat Development,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""65cc37d7-7a6c-4ebb-a34c-b49fc817ebb1""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11110029,Plat Development,Nur Development,fuzzy_review,88.0,true,
,,d5c4d8a3-f668-47ac-9541-772467b84d20,,4900 EAGLE ROCK BOULEVARD LOS ANGELES CA 90041,developer,The Panorama Group,"AMCAL Multi-Housing, Inc.",most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,2,1,"[""082bd7b9-c0c6-4dbf-9e3d-fc837893fb38""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,20930535,"AMCAL Multi-Housing, Inc.","AMCAL Multi-Housing, Inc.",new_registry_entry,,true,
,,6fb0cbe7-ba73-42d5-bf46-c93c54c1c0be,1749 N Las Palmas,1749 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,developer,Thomas Safran & Associates,Denley Investment & Management Company,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""71df74f6-ac4e-40b9-8c05-66aca9a655a2""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10342690,Denley Investment & Management Company,Kian Investment,fuzzy_review,86.95652173913044,true,
,,363a426c-9fef-40e7-862e-24ba5906951f,971 S Hoover St,971 SOUTH HOOVER STREET LOS ANGELES CA 90006,developer,Tripalink,TRE Construction,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-01,2,1,"[""f6c6dce6-d174-4092-9c59-6b0f7e760e0b""]",costar,3,2026-04-01,2026-04-16T04:19:10.855014+00:00,10616761,TRE Construction,TRE Construction,new_registry_entry,,true,
,,b5e706b9-21f0-4056-845f-0424a101f5cc,1010 Kenmore,2870 WEST OLYMPIC BOULEVARD LOS ANGELES CA 90006,developer,UC Funds (Foreclosed from LiveWorkCreate),"MaxSum Development, LLC",most_recent_wins_canonicalization_review_required,high,low,value_changed,2025-11-01,2,1,"[""3e22212a-2338-4516-a5da-32644d93e11a""]",costar,3,2025-11-01,2026-04-16T04:19:10.855014+00:00,11107852,"MaxSum Development, LLC",Nur Development,fuzzy_review,88.23529411764706,true,
,,804cb56c-e8b5-4c6b-bd89-4c863fa86c40,614-616 S Westmoreland Ave,614-616 SOUTH WESTMORELAND AVENUE LOS ANGELES CA 90005,developer,Umeken USA,Harvest Realty Advisors,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""22adc963-01b6-490d-8893-9d6316c16e7a""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10227972,Harvest Realty Advisors,Choice 100 Realty,fuzzy_review,82.6086956521739,true,
,,b8152713-355b-47be-994a-d40cc9a46fc7,401 S Western Ave,401 SOUTH WESTERN AVENUE LOS ANGELES CA 90020,developer,WS Communities,"AZ MANAGEMENT & INVESTMENTS, LLC",most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,18,1,"[""eb03de38-9123-494d-92bd-d2db046d8dc8""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10896192,"AZ MANAGEMENT & INVESTMENTS, LLC",ROM Investments,fuzzy_review,88.0,true,
,,da0f3af2-4851-4115-80ad-168b2c0cc31f,Link Apartments Korella,950 SOUTH BERENDO STREET LOS ANGELES CA 90006,developer,WS Communities,"Dream Realty & Investments, Inc",most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""b1260c21-16e7-41a7-a992-3e2c2f91d8f5""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10820688,"Dream Realty & Investments, Inc",ROM Investments,fuzzy_review,88.0,true,
