Batch 1: projects=1 discrepancies=0 changed_fields=0 log_rows=0 last_project_id=0de7bfde-5fd8-4138-b2af-78d1197de5c2
Batch 2: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0e34fab4-d39f-46ec-acde-68e3258a4ff6
Batch 3: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0e4f9898-880a-48e5-b932-2ef7b2fb4d9f
Batch 4: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0e6e9cf8-e52d-40e3-b5da-bfd6007b8e03
Batch 5: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0e72812c-192f-4a7b-afda-68786d6eb5d1
Batch 6: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=0e73f466-dc25-4c14-b4c5-02ea2122eae4
Batch 7: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=0e9a1bed-4a88-45f6-b84c-f883bb321ab0
Batch 8: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=0ec103ec-0f4c-4c04-bcec-2749d1f018ad
Batch 9: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0f01cb79-7924-4f70-a13b-b63d98936be8
Batch 10: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=0f1e5b99-e797-4f82-aa88-628702a95afa
Batch 11: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0f41bdce-945f-47a2-9f65-960adbda224b
Batch 12: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0f4f4644-3b0e-4829-a5c1-de823a7e39dd
Batch 13: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=0f5300b7-fe40-42af-bb52-1030903692d2
Batch 14: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=1038ac47-4e70-4402-8ce1-d1303c0e229a
Batch 15: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=10814786-2c1c-449f-8bf0-e0ba9a600894
Batch 16: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=108ba7a7-a92f-4c38-834d-864769fbf985
Batch 17: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=10a42f38-431d-42ce-be6f-97a392182f63
Batch 18: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=115b04fb-3f54-4745-a687-d7eb4a2c4e5a
Batch 19: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=115edc47-cc29-4820-b97f-9681b21d35c6
Batch 20: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=11c1e2ae-d8f8-483c-9670-2556930f464d
Batch 21: projects=1 discrepancies=1 changed_fields=8 log_rows=7 last_project_id=12099ae4-a746-48b7-b150-67e800bd36be
Batch 22: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=1218b8f4-6c8a-490f-b512-1a6f3de4ce38
Batch 23: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=12389b13-4a52-4bd3-9dde-3b786b641bab
Batch 24: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=124775f3-9cdf-403c-8754-cedfa8a5004d
Batch 25: projects=1 discrepancies=1 changed_fields=6 log_rows=6 last_project_id=12649f19-7bbd-4ec5-9230-db21eb58bf2d
Batch 26: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=12c2d5ca-8ad3-4da0-b169-bf7121d95881
Batch 27: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=12f2cbe1-5a09-4d91-9d51-634c52391726
Batch 28: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=13125633-c328-4de8-8ee1-4d33fb104d82
Batch 29: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=13229a06-f589-4004-ad62-a86a479d1c92
Batch 30: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=13989f09-e3af-4b78-b982-6ce101005c19
Batch 31: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=13f10e6a-d796-49bc-9f27-00f743aec46b
Batch 32: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=14035c96-23f9-40f0-ac8e-2cb1ffcdc35a
Batch 33: projects=1 discrepancies=1 changed_fields=6 log_rows=6 last_project_id=1418076c-752c-4c13-83af-49b9d8ebc529
Batch 34: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=147c8b14-14d5-4872-b813-ea3f97012a44
Batch 35: projects=1 discrepancies=1 changed_fields=7 log_rows=7 last_project_id=14f0e74b-70ac-4040-a056-935d140bd745
Batch 36: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=153d1bfc-6c69-4f0a-98e8-60fc624f1dd4
Batch 37: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=1567ff4d-7343-4052-9861-6ed940023d57
Batch 38: projects=1 discrepancies=1 changed_fields=7 log_rows=7 last_project_id=156e7b88-1586-49a7-ad64-f7f5698f5386
Batch 39: projects=1 discrepancies=1 changed_fields=6 log_rows=6 last_project_id=159d52d0-dffa-4168-a6f5-c890f7d7f6ca
Batch 40: projects=1 discrepancies=1 changed_fields=6 log_rows=6 last_project_id=165c7c8e-c5a6-444a-9ed3-9a89c6fff677
Batch 41: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=169829ae-053f-4916-b756-a4f6e8bf658d
Batch 42: projects=1 discrepancies=1 changed_fields=6 log_rows=6 last_project_id=169b4c99-53bf-4603-ab69-e2b2dc2d4175
Batch 43: projects=1 discrepancies=1 changed_fields=9 log_rows=9 last_project_id=16bb86a4-90aa-4d88-addd-4be9292a4f92
Batch 44: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=1738af5a-72a1-4bd4-a0cb-119dd043efe1
Batch 45: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=174a53ae-cc5d-4203-9185-5ab4eac15f4f
Batch 46: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=17863b6c-d6eb-454a-803e-fef68da41397
Batch 47: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=178ca311-1137-4b54-a521-7aef239d1e16
Batch 48: projects=1 discrepancies=1 changed_fields=7 log_rows=6 last_project_id=17c4df02-db55-46e2-8f16-a21348a2879c
Batch 49: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=17d08b7c-6248-4b52-805c-25f6ab5a520f
Batch 50: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=17d6689c-b3cc-455a-9568-626859112c4d
Batch 51: projects=1 discrepancies=1 changed_fields=8 log_rows=8 last_project_id=17df61a8-210e-4a3f-bb55-dce036715145
Batch 52: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=1825c3ca-7f75-4016-b230-291a2f123c57
Batch 53: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=182963c1-9402-4aa8-89f8-03faaf798358
Batch 54: projects=1 discrepancies=1 changed_fields=6 log_rows=5 last_project_id=18c3a172-c64e-4078-9697-a50d4c003998
