decision,notes,project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,delta_shape,last_evidence_date,evidence_count,supporting_evidence_count,evidence_ids,winning_source_type,winning_source_tier,winning_evidence_date,winning_collected_at,winning_source_record_id,delta_signed,delta_abs,winning_observed_value
,,1d75e45f-07c5-4a8d-bab5-a80d3de5c611,The City Market of Los Angeles Retail,1057 SOUTH SAN PEDRO STREET LOS ANGELES CA 90015,total_units,293,121,most_recent_wins,medium,low,value_changed,2026-04-16,6,1,"[""c2ee8187-bafd-4a57-85e1-d6f53fd5c5ad""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,9267996,-172,172,121
,,ebe5dc62-7b98-4125-ade0-5db31baea092,3800 West 6th Street,3800 WEST 6TH STREET LOS ANGELES CA 90020,total_units,219,80,most_recent_wins,medium,low,value_changed,2026-04-16,4,1,"[""f58841b9-bd9b-46db-af4b-b55d8254ed37""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10599630,-139,139,80
,,14f0e74b-70ac-4040-a056-935d140bd745,730 Vermont,730 SOUTH VERMONT AVENUE LOS ANGELES CA 90005,total_units,80,210,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""67379a39-60a9-4ea4-9845-d9c626a13a56""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,12789096,130,130,210
,,0726d5f5-0796-48ae-8157-45bbf91061be,Maru Apartments,549 SOUTH HARVARD BOULEVARD LOS ANGELES CA 90020,total_units,150,44,most_recent_wins,medium,low,value_changed,2026-04-16,2,1,"[""b3349f54-f7da-44a8-a1eb-e49a8239dffc""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10163624,-106,106,44
,,37a03cb3-5bf3-4665-a2f0-31db3c5a0b20,350 S Alexandria Ave,350 SOUTH ALEXANDRIA AVENUE LOS ANGELES CA 90020,total_units,152,82,most_recent_wins,high,low,value_changed,2026-04-16,3,1,"[""1b745abc-61ca-450f-ad64-0a87f270f3cf""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11144146,-70,70,82
,,68e68d81-5221-46e4-b65e-bb2db2b1747c,7951 Beverly Blvd,7951 BEVERLY BOULEVARD LOS ANGELES CA 90048,total_units,205,135,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""1640231b-69da-4815-98b5-44d0254bf761""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10997109,-70,70,135
,,fd375fa5-8c35-4cfa-9b92-db41add74df8,Crossroads Hollywood B4,1555 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,total_units,123,190,most_recent_wins,medium,low,value_changed,2026-04-16,2,1,"[""62a32d12-2485-4f12-980d-6acde4ee2847""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,9849236,67,67,190
,,b785d67a-86a2-4c8c-b784-e76c600ca47c,Franklin & Cahuenga,1830 NORTH CAHUENGA BOULEVARD LOS ANGELES CA 90028,total_units,199,244,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""ea2a2610-25c6-410a-808d-e49bbfce88c3""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,15403546,45,45,244
,,4ecedcd6-9636-4fe8-bcdc-76805d55950f,Hi Point,1532 HI POINT STREET LOS ANGELES CA 90035,total_units,50,9,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""75aaee8d-584a-44e6-b26d-6914bd38c3e1""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10907440,-41,41,9
,,48e0731d-3049-402f-8a7a-8f3b64fda7af,3641 Motor Ave,3641 MOTOR AVENUE LOS ANGELES CA 90034,total_units,30,63,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""fa0f363d-4821-4c8c-9ace-861ce8b22d4c""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11088357,33,33,63
